country_code,country,sex_code,sex,year,value,status_flag,note,updated_at
DK,Denmark,T,all,2011,73.23,,,2026-06-08T23:00:00+0200
DK,Denmark,T,all,2012,75.31,,,2026-06-08T23:00:00+0200
DK,Denmark,T,all,2013,71.95,,,2026-06-08T23:00:00+0200
DK,Denmark,T,all,2014,71.67,,,2026-06-08T23:00:00+0200
DK,Denmark,T,all,2015,68.74,,,2026-06-08T23:00:00+0200
DK,Denmark,T,all,2016,66.76,,,2026-06-08T23:00:00+0200
DK,Denmark,T,all,2017,65.99,,,2026-06-08T23:00:00+0200
DK,Denmark,T,all,2018,60.88,,,2026-06-08T23:00:00+0200
DK,Denmark,T,all,2019,61.79,,,2026-06-08T23:00:00+0200
DK,Denmark,T,all,2020,57.16,,,2026-06-08T23:00:00+0200
DK,Denmark,T,all,2021,56.52,,,2026-06-08T23:00:00+0200
DK,Denmark,T,all,2022,55.63,,,2026-06-08T23:00:00+0200
DK,Denmark,T,all,2023,53.85,,,2026-06-08T23:00:00+0200
DK,Denmark,F,female,2011,65.76,,,2026-06-08T23:00:00+0200
DK,Denmark,F,female,2012,65.94,,,2026-06-08T23:00:00+0200
DK,Denmark,F,female,2013,63.73,,,2026-06-08T23:00:00+0200
DK,Denmark,F,female,2014,62.3,,,2026-06-08T23:00:00+0200
DK,Denmark,F,female,2015,61.6,,,2026-06-08T23:00:00+0200
DK,Denmark,F,female,2016,60.23,,,2026-06-08T23:00:00+0200
DK,Denmark,F,female,2017,59.08,,,2026-06-08T23:00:00+0200
DK,Denmark,F,female,2018,55.66,,,2026-06-08T23:00:00+0200
DK,Denmark,F,female,2019,57.97,,,2026-06-08T23:00:00+0200
DK,Denmark,F,female,2020,53.05,,,2026-06-08T23:00:00+0200
DK,Denmark,F,female,2021,52.33,,,2026-06-08T23:00:00+0200
DK,Denmark,F,female,2022,52.25,,,2026-06-08T23:00:00+0200
DK,Denmark,F,female,2023,49.54,,,2026-06-08T23:00:00+0200
DK,Denmark,M,male,2011,83.86,,,2026-06-08T23:00:00+0200
DK,Denmark,M,male,2012,88.97,,,2026-06-08T23:00:00+0200
DK,Denmark,M,male,2013,83.5,,,2026-06-08T23:00:00+0200
DK,Denmark,M,male,2014,84.47,,,2026-06-08T23:00:00+0200
DK,Denmark,M,male,2015,79.8,,,2026-06-08T23:00:00+0200
