country_code,country,sex_code,sex,year,value,lower_bound,upper_bound,status,note,updated_at
DNK,Denmark,SEX_BTSX,all,2000,38.3,31.2,45.4,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
DNK,Denmark,SEX_BTSX,all,2005,31.8,26.4,37.2,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
DNK,Denmark,SEX_BTSX,all,2007,29.6,24.5,34.7,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
DNK,Denmark,SEX_BTSX,all,2010,26.4,21.7,31.2,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
DNK,Denmark,SEX_BTSX,all,2015,22.0,18.2,25.8,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
DNK,Denmark,SEX_BTSX,all,2020,18.2,15.2,21.3,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
DNK,Denmark,SEX_BTSX,all,2022,17.0,14.2,19.9,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
DNK,Denmark,SEX_BTSX,all,2023,16.3,13.5,19.2,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
DNK,Denmark,SEX_BTSX,all,2024,15.7,12.9,18.6,projected,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent national survey was conducted in 2023. This is a projection.,2026-01-15T18:43:44.287+01:00
DNK,Denmark,SEX_BTSX,all,2025,15.2,12.4,18.1,projected,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent national survey was conducted in 2023. This is a projection.,2026-01-15T18:43:44.287+01:00
DNK,Denmark,SEX_FMLE,female,2000,35.7,29.0,42.3,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
DNK,Denmark,SEX_FMLE,female,2005,29.8,24.4,35.3,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
DNK,Denmark,SEX_FMLE,female,2007,27.7,23.1,32.2,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
DNK,Denmark,SEX_FMLE,female,2010,24.7,20.1,29.4,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
DNK,Denmark,SEX_FMLE,female,2015,20.7,17.6,23.9,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
DNK,Denmark,SEX_FMLE,female,2020,17.2,14.3,20.1,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
DNK,Denmark,SEX_FMLE,female,2022,16.2,13.5,18.8,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
DNK,Denmark,SEX_FMLE,female,2023,15.5,12.9,18.0,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
DNK,Denmark,SEX_FMLE,female,2024,15.0,12.3,17.6,projected,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent national survey was conducted in 2023. This is a projection.,2026-01-15T18:43:44.287+01:00
DNK,Denmark,SEX_FMLE,female,2025,14.5,11.4,17.5,projected,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent national survey was conducted in 2023. This is a projection.,2026-01-15T18:43:44.287+01:00
DNK,Denmark,SEX_MLE,male,2000,40.9,33.3,48.5,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
DNK,Denmark,SEX_MLE,male,2005,33.7,28.3,39.1,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
DNK,Denmark,SEX_MLE,male,2007,31.4,25.8,37.1,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
DNK,Denmark,SEX_MLE,male,2010,28.1,23.3,32.9,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
DNK,Denmark,SEX_MLE,male,2015,23.3,18.9,27.6,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
DNK,Denmark,SEX_MLE,male,2020,19.3,16.0,22.6,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
DNK,Denmark,SEX_MLE,male,2022,17.9,14.9,20.9,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
DNK,Denmark,SEX_MLE,male,2023,17.2,14.0,20.4,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
DNK,Denmark,SEX_MLE,male,2024,16.5,13.6,19.5,projected,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent national survey was conducted in 2023. This is a projection.,2026-01-15T18:43:44.287+01:00
DNK,Denmark,SEX_MLE,male,2025,16.0,13.4,18.6,projected,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent national survey was conducted in 2023. This is a projection.,2026-01-15T18:43:44.287+01:00
FIN,Finland,SEX_BTSX,all,2000,39.0,31.9,46.0,modelled_estimate,,2026-01-15T18:43:44.287+01:00
FIN,Finland,SEX_BTSX,all,2005,34.4,28.5,40.2,modelled_estimate,,2026-01-15T18:43:44.287+01:00
FIN,Finland,SEX_BTSX,all,2007,32.8,27.4,38.1,modelled_estimate,,2026-01-15T18:43:44.287+01:00
FIN,Finland,SEX_BTSX,all,2010,30.3,24.8,35.7,modelled_estimate,,2026-01-15T18:43:44.287+01:00
FIN,Finland,SEX_BTSX,all,2015,26.8,21.7,31.9,modelled_estimate,,2026-01-15T18:43:44.287+01:00
FIN,Finland,SEX_BTSX,all,2020,23.7,19.6,27.7,modelled_estimate,,2026-01-15T18:43:44.287+01:00
FIN,Finland,SEX_BTSX,all,2022,22.4,18.4,26.3,modelled_estimate,,2026-01-15T18:43:44.287+01:00
FIN,Finland,SEX_BTSX,all,2023,21.8,17.7,25.9,projected,The most recent national survey was conducted in 2022. This is a projection.,2026-01-15T18:43:44.287+01:00
FIN,Finland,SEX_BTSX,all,2024,21.4,17.6,25.2,projected,The most recent national survey was conducted in 2022. This is a projection.,2026-01-15T18:43:44.287+01:00
FIN,Finland,SEX_BTSX,all,2025,20.9,17.0,24.8,projected,The most recent national survey was conducted in 2022. This is a projection.,2026-01-15T18:43:44.287+01:00
FIN,Finland,SEX_FMLE,female,2000,29.8,24.5,35.0,modelled_estimate,,2026-01-15T18:43:44.287+01:00
FIN,Finland,SEX_FMLE,female,2005,26.7,22.5,30.9,modelled_estimate,,2026-01-15T18:43:44.287+01:00
FIN,Finland,SEX_FMLE,female,2007,25.5,21.6,29.4,modelled_estimate,,2026-01-15T18:43:44.287+01:00
FIN,Finland,SEX_FMLE,female,2010,23.7,19.1,28.3,modelled_estimate,,2026-01-15T18:43:44.287+01:00
FIN,Finland,SEX_FMLE,female,2015,21.4,17.8,25.0,modelled_estimate,,2026-01-15T18:43:44.287+01:00
FIN,Finland,SEX_FMLE,female,2020,19.2,16.4,21.9,modelled_estimate,,2026-01-15T18:43:44.287+01:00
FIN,Finland,SEX_FMLE,female,2022,18.2,15.4,21.1,modelled_estimate,,2026-01-15T18:43:44.287+01:00
FIN,Finland,SEX_FMLE,female,2023,17.8,14.7,20.9,projected,The most recent national survey was conducted in 2022. This is a projection.,2026-01-15T18:43:44.287+01:00
FIN,Finland,SEX_FMLE,female,2024,17.4,14.5,20.4,projected,The most recent national survey was conducted in 2022. This is a projection.,2026-01-15T18:43:44.287+01:00
FIN,Finland,SEX_FMLE,female,2025,17.1,14.0,20.2,projected,The most recent national survey was conducted in 2022. This is a projection.,2026-01-15T18:43:44.287+01:00
FIN,Finland,SEX_MLE,male,2000,48.2,39.4,56.9,modelled_estimate,,2026-01-15T18:43:44.287+01:00
FIN,Finland,SEX_MLE,male,2005,42.1,34.6,49.6,modelled_estimate,,2026-01-15T18:43:44.287+01:00
FIN,Finland,SEX_MLE,male,2007,40.0,33.2,46.9,modelled_estimate,,2026-01-15T18:43:44.287+01:00
FIN,Finland,SEX_MLE,male,2010,36.8,30.4,43.1,modelled_estimate,,2026-01-15T18:43:44.287+01:00
FIN,Finland,SEX_MLE,male,2015,32.3,25.7,38.9,modelled_estimate,,2026-01-15T18:43:44.287+01:00
FIN,Finland,SEX_MLE,male,2020,28.2,22.9,33.5,modelled_estimate,,2026-01-15T18:43:44.287+01:00
FIN,Finland,SEX_MLE,male,2022,26.5,21.5,31.6,modelled_estimate,,2026-01-15T18:43:44.287+01:00
FIN,Finland,SEX_MLE,male,2023,25.9,20.8,31.0,projected,The most recent national survey was conducted in 2022. This is a projection.,2026-01-15T18:43:44.287+01:00
FIN,Finland,SEX_MLE,male,2024,25.3,20.6,30.0,projected,The most recent national survey was conducted in 2022. This is a projection.,2026-01-15T18:43:44.287+01:00
FIN,Finland,SEX_MLE,male,2025,24.6,19.9,29.3,projected,The most recent national survey was conducted in 2022. This is a projection.,2026-01-15T18:43:44.287+01:00
ISL,Iceland,SEX_BTSX,all,2000,31.1,26.1,36.0,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
ISL,Iceland,SEX_BTSX,all,2005,24.0,20.1,28.0,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
ISL,Iceland,SEX_BTSX,all,2007,21.7,18.1,25.4,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
ISL,Iceland,SEX_BTSX,all,2010,18.6,15.7,21.5,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
ISL,Iceland,SEX_BTSX,all,2015,14.4,12.1,16.8,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
ISL,Iceland,SEX_BTSX,all,2020,11.3,9.3,13.2,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
ISL,Iceland,SEX_BTSX,all,2022,10.2,8.2,12.1,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
ISL,Iceland,SEX_BTSX,all,2023,9.7,8.0,11.3,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
ISL,Iceland,SEX_BTSX,all,2024,9.2,7.6,10.8,projected,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent national survey was conducted in 2023. This is a projection.,2026-01-15T18:43:44.287+01:00
ISL,Iceland,SEX_BTSX,all,2025,8.7,7.2,10.2,projected,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent national survey was conducted in 2023. This is a projection.,2026-01-15T18:43:44.287+01:00
ISL,Iceland,SEX_FMLE,female,2000,29.7,25.2,34.2,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
ISL,Iceland,SEX_FMLE,female,2005,23.1,19.5,26.6,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
ISL,Iceland,SEX_FMLE,female,2007,20.8,17.1,24.5,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
ISL,Iceland,SEX_FMLE,female,2010,18.0,15.0,20.9,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
ISL,Iceland,SEX_FMLE,female,2015,14.0,11.9,16.1,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
ISL,Iceland,SEX_FMLE,female,2020,11.0,9.1,12.8,modelled_estimate,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates.,2026-01-15T18:43:44.287+01:00
